연번,지형지물부호,행정읍면동,법정읍면동,설치일자,소화전형식,주소,경도,위도,데이터기준일자
1,소화전,안산동,수암동,2024-09-10,지상쌍구,경기도 안산시 상록구 수암동 460-2,126.8793588,37.3661245,2026-01-12
2,소화전,부곡동,부곡동,2024-09-10,지상쌍구,경기도 안산시 상록구 부곡동 237-4,126.8726255,37.3422996,2026-01-12
3,소화전,본오1동,본오동,2024-09-10,지상쌍구,경기도 안산시 상록구 본오동 685,126.8678119,37.2862794,2026-01-12
4,소화전,반월동,건건동,2024-09-10,지상쌍구,경기도 안산시 상록구 건건동 275-2,126.8986118,37.3132417,2026-01-12
5,소화전,반월동,건건동,2024-09-10,지상쌍구,경기도 안산시 상록구 건건동 665,126.9047116,37.3057023,2026-01-12
6,소화전,사동,사동,2024-09-10,지상쌍구,경기도 안산시 상록구 사동 1351-1,126.8455797,37.293967,2026-01-12
7,소화전,사이동,사동,2024-09-10,지상쌍구,경기도 안산시 상록구 사동 1346,126.8534914,37.2876554,2026-01-12
8,소화전,선부2동,선부동,2024-09-10,지상쌍구,경기도 안산시 단원구 선부동 989-9,126.7961278,37.3404105,2026-01-12
9,소화전,선부2동,선부동,2024-09-10,지상쌍구,경기도 안산시 단원구 선부동 980-5,126.7957094,37.3390546,2026-01-12
10,소화전,신길동,신길동,2024-09-10,지상쌍구,경기도 안산시 단원구 신길동 1374,126.7667202,37.3347823,2026-01-12
11,소화전,신길동,신길동,2024-09-10,지상쌍구,경기도 안산시 단원구 신길동 1375,126.7796165,37.3327986,2026-01-12
12,소화전,고잔동,고잔동,2024-09-10,지상쌍구,경기도 안산시 단원구 고잔동 669-15,126.8223855,37.3239962,2026-01-12
13,소화전,초지동,성곡동,2024-09-10,지상쌍구,경기도 안산시 단원구 성곡동 591,126.7692652,37.3226536,2026-01-12
14,소화전,초지동,초지동,2024-09-10,지상쌍구,경기도 안산시 단원구 초지동 647-2,126.7927566,37.3021352,2026-01-12
15,소화전,초지동,초지동,2024-09-10,지상쌍구,경기도 안산시 단원구 초지동 748,126.8151024,37.3085424,2026-01-12
16,소화전,초지동,초지동,2024-09-10,지상쌍구,경기도 안산시 단원구 초지동 743-5,126.8125817,37.3024169,2026-01-12
17,소화전,성포동,성포동,2021-10-30,지상쌍구,경기도 안산시 단원구 선부동 1077-19,126.8119049,37.3332354,2026-01-12
18,소화전,성포동,성포동,2021-10-30,지상쌍구,경기도 안산시 단원구 선부동 1077-3,126.812548,37.3332418,2026-01-12
19,소화전,성포동,성포동,2021-10-30,지상쌍구,경기도 안산시 단원구 선부동 1077-4,126.8123958,37.3328709,2026-01-12
20,소화전,성포동,성포동,2021-10-30,지상쌍구,경기도 안산시 단원구 선부동 1077-11,126.8102324,37.3319571,2026-01-12
21,소화전,성포동,성포동,2021-10-30,지상쌍구,경기도 안산시 단원구 선부동 1158-22,126.8148031,37.3319129,2026-01-12
22,소화전,원곡동,원곡동,2021-10-31,지상쌍구,경기도 안산시 단원구 원곡동 산28-1,126.799316,37.3365053,2026-01-12
23,소화전,선부동,선부동,2021-10-31,지상쌍구,경기도 안산시 단원구 선부동 1143-6,126.8148487,37.3419421,2026-01-12
24,소화전,선부동,선부동,2021-10-31,지상쌍구,경기도 안산시 단원구 선부동 1001-20,126.8016859,37.3400524,2026-01-12
25,소화전,선부동,선부동,2021-10-31,지상쌍구,경기도 안산시 단원구 선부동 1028-11,126.8040573,37.341383,2026-01-12
26,소화전,선부동,선부동,2021-10-31,지하단구,경기도 안산시 단원구 선부동 1038-8,126.8059703,37.3431593,2026-01-12
27,소화전,선부동,선부동,2021-10-31,지상쌍구,경기도 안산시 단원구 선부동 1027,126.804134,37.3436634,2026-01-12
28,소화전,선부동,선부동,2021-10-31,지상쌍구,경기도 안산시 단원구 선부동 1028,126.8036356,37.3423518,2026-01-12
29,소화전,선부동,선부동,2021-10-31,지하단구,경기도 안산시 단원구 선부동 1033-19,126.8063559,37.3416134,2026-01-12
30,소화전,선부동,선부동,2021-10-31,지상쌍구,경기도 안산시 단원구 선부동 1028,126.8036356,37.3423518,2026-01-12
31,소화전,선부동,선부동,2021-10-31,지상쌍구,경기도 안산시 단원구 선부동 1028-11,126.8040573,37.341383,2026-01-12
32,소화전,초지동,성곡동,2021-10-02,지상쌍구,경기도 안산시 단원구 신길동 1122-2,126.7801423,37.3261002,2026-01-12
33,소화전,초지동,성곡동,2021-10-02,지상쌍구,경기도 안산시 단원구 성곡동 599,126.7643007,37.3185291,2026-01-12
34,소화전,본오1동,팔곡이동,2021-01-01,지상쌍구,경기도 안산시 상록구 팔곡이동 75-3,126.8860755,37.28666,2026-01-12
35,소화전,본오1동,팔곡이동,2021-01-01,지상쌍구,경기도 안산시 상록구 팔곡이동 115-1,126.8850558,37.2854519,2026-01-12
36,소화전,본오1동,팔곡이동,2021-01-01,지상쌍구,경기도 안산시 상록구 팔곡이동 80-8,126.8873897,37.2870147,2026-01-12
37,소화전,본오1동,팔곡이동,2021-01-01,지상쌍구,경기도 안산시 상록구 팔곡이동 산 27-9,126.8869122,37.2857487,2026-01-12
38,소화전,본오1동,팔곡이동,2021-01-01,지상쌍구,경기도 안산시 상록구 팔곡이동 611,126.8885447,37.2897648,2026-01-12
39,소화전,본오1동,팔곡이동,2021-01-01,지상쌍구,경기도 안산시 상록구 팔곡이동 611-2,126.8885798,37.2889092,2026-01-12
40,소화전,본오1동,팔곡이동,2021-01-01,지상쌍구,경기도 안산시 상록구 팔곡이동 615-5,126.8884286,37.2861595,2026-01-12
41,소화전,본오1동,팔곡이동,2021-01-01,지상쌍구,경기도 안산시 상록구 팔곡이동 615-2,126.8892066,37.2869327,2026-01-12
42,소화전,안산동,장상동,2022-08-22,지상쌍구,경기도 안산시 상록구 장상동 328,126.8789961,37.3502804,2026-01-12
43,소화전,안산동,수암동,2022-10-05,지상쌍구,경기도 안산시 상록구 수암동 465,126.8771478,37.3652475,2026-01-12
44,소화전,사동,사동,2022-08-22,지상쌍구,경기도 안산시 상록구 사동 1293-8,126.8487672,37.2957281,2026-01-12
45,소화전,사동,사동,2022-07-27,지상쌍구,경기도 안산시 상록구 사동 1287,126.8459751,37.2968813,2026-01-12
46,소화전,월피동,월피동,2022-10-05,지상쌍구,경기도 안산시 상록구 부곡동 720-10,126.8590425,37.336754,2026-01-12
47,소화전,월피동,월피동,2022-09-26,지상쌍구,경기도 안산시 상록구 부곡동 727-17,126.8582719,37.335476,2026-01-12
48,소화전,월피동,월피동,2022-09-21,지상쌍구,경기도 안산시 상록구 부곡동 738,126.8565535,37.3334501,2026-01-12
49,소화전,월피동,월피동,2022-07-27,지상쌍구,경기도 안산시 상록구 부곡동 730-5,126.8594554,37.3333249,2026-01-12
50,소화전,월피동,월피동,2022-07-27,지상쌍구,경기도 안산시 상록구 부곡동 722,126.8608073,37.3364646,2026-01-12
51,소화전,본오2동,본오동,2022-11-16,지상쌍구,경기도 안산시 상록구 본오동 763-6,126.8754113,37.2962276,2026-01-12
52,소화전,본오2동,본오동,2022-10-26,지상쌍구,경기도 안산시 상록구 본오동 771-19,126.8754937,37.2944803,2026-01-12
53,소화전,본오2동,본오동,2022-11-14,지상쌍구,경기도 안산시 상록구 본오동 746-13,126.8773067,37.2961915,2026-01-12
54,소화전,원곡동,원곡동,2022-08-12,지상쌍구,경기도 안산시 단원구 원곡동 827-2,126.7991771,37.3303497,2026-01-12
55,소화전,백운동,원곡동,2022-07-23,지상쌍구,경기도 안산시 단원구 원곡동 936,126.8021749,37.3320019,2026-01-12
56,소화전,선부1동,선부동,2022-07-17,지상쌍구,경기도 안산시 단원구 선부동 965,126.8008896,37.3347732,2026-01-12
57,소화전,원곡동,원곡동,2022-08-16,지상쌍구,경기도 안산시 단원구 원곡동 822,126.7983683,37.3294134,2026-01-12
58,소화전,선부1동,선부동,2022-07-11,지상쌍구,경기도 안산시 단원구 선부동 965-1,126.8012867,37.3339302,2026-01-12
59,소화전,백운동,원곡동,2022-07-14,지상쌍구,경기도 안산시 단원구 원곡동 936-6,126.8026749,37.3324936,2026-01-12
60,소화전,원곡동,안산시단원구,2022-01-01,지상쌍구,경기도 안산시 단원구 원곡동 1003,126.7980288,37.329473,2026-01-12
61,소화전,원곡동,안산시단원구,2022-01-01,지상쌍구,경기도 안산시 단원구 원곡동 1103,126.7980288,37.329473,2026-01-12
62,소화전,본오동,본오동,2022-12-11,지상쌍구,경기도 안산시 상록구 본오동 872-3,126.8635506,37.3004214,2026-01-12
63,소화전,본오동,본오동,2022-12-11,지상쌍구,경기도 안산시 상록구 본오동 970-17,126.8561461,37.2836353,2026-01-12
64,소화전,본오동,본오동,2022-12-11,지상쌍구,경기도 안산시 상록구 본오동 971-9,126.8557813,37.2824063,2026-01-12
65,소화전,본오동,본오동,2022-12-11,지상쌍구,경기도 안산시 상록구 본오동 981-7,126.8610673,37.2833403,2026-01-12
66,소화전,고잔동,고잔동,2009-01-01,지상쌍구,경기도 안산시 단원구 고잔동 521-2,126.8271645,37.3177813,2026-01-12
67,소화전,대부동,대부남동,2018-01-01,지상쌍구,경기도 안산시 단원구 대부남동 1126-273,126.5557428,37.220035,2026-01-12
68,소화전,반월동,건건동,2022-12-31,지상쌍구,경기도 안산시 상록구 건건동 338-1,126.9073858,37.3142241,2026-01-12
69,소화전,안산동,수암동,2022-12-31,지상단구,경기도 안산시 상록구 수암동 464-4,126.8790027,37.3650128,2026-01-12
70,소화전,안산동,수암동,2022-12-31,지상단구,경기도 안산시 상록구 수암동 487-7,126.8799755,37.3626072,2026-01-12
71,소화전,안산동,수암동,2022-12-31,지상단구,경기도 안산시 상록구 수암동 470,126.8776566,37.3636845,2026-01-12
72,소화전,부곡동,부곡동,2023-09-09,지상쌍구,경기도 안산시 상록구 부곡동 695-23,126.8578764,37.3228393,2026-01-12
73,소화전,부곡동,부곡동,2023-09-09,지상쌍구,경기도 안산시 상록구 부곡동 689-8,126.8578707,37.3247045,2026-01-12
74,소화전,부곡동,부곡동,2023-09-07,지상쌍구,경기도 안산시 상록구 부곡동 688-9,126.8578779,37.3257227,2026-01-12
75,소화전,부곡동,부곡동,2023-06-08,지상쌍구,경기도 안산시 상록구 부곡동 672-22,126.860581,37.3312723,2026-01-12
76,소화전,부곡동,부곡동,2023-05-26,지상쌍구,경기도 안산시 상록구 부곡동 672-14,126.8616477,37.3308771,2026-01-12
77,소화전,부곡동,부곡동,2023-05-24,지상쌍구,경기도 안산시 상록구 부곡동 672-35,126.8607967,37.3311843,2026-01-12
78,소화전,안산동,장하동,2023-10-10,지상쌍구,경기도 안산시 상록구 장하동 254-1,126.8583399,37.3488755,2026-01-12
79,소화전,사이동,사동,2023-08-25,지하단구,경기도 안산시 상록구 사동 1410-5,126.8508632,37.2847284,2026-01-12
80,소화전,선부3동,선부동,2023-08-07,지상쌍구,경기도 안산시 단원구 선부동 1103-20,126.8156417,37.3467797,2026-01-12
81,소화전,선부3동,선부동,2023-05-25,지상쌍구,경기도 안산시 단원구 선부동 1123-7,126.8114329,37.3467195,2026-01-12
82,소화전,선부3동,선부동,1900-01-01,지상쌍구,경기도 안산시 단원구 선부동 1119-21,126.8125915,37.3455327,2026-01-12
83,소화전,와동,와동,2023-07-05,지상쌍구,경기도 안산시 단원구 와동 707-11,126.83058,37.3354398,2026-01-12
84,소화전,와동,와동,2000-01-01,지상쌍구,경기도 안산시 단원구 와동 704,126.831471,37.3369264,2026-01-12
85,소화전,일동,일동,1983-01-01,미분류,경기도 안산시 상록구 일동 602-18(552 인근),126.8612262,37.3176815,2026-01-12
86,소화전,일동,일동,1991-01-01,지하단구,경기도 안산시 상록구 일동 115-1(113 인근),126.8720478,37.3152712,2026-01-12
87,소화전,사동,사동,1998-01-01,지상쌍구,경기도 안산시 상록구 사동 1212-5(1544-2 인근),126.8475485,37.3031591,2026-01-12
88,소화전,초지동,초지동,1996-01-01,,경기도 안산시 단원구 초지동 634(623-4 인근),126.7996422,37.3018178,2026-01-12
89,소화전,초지동,초지동,,,경기도 안산시 단원구 초지동 630(623 인근),126.7966909,37.3036891,2026-01-12
90,급수탑,초지동,초지동,1985-01-01,지상단구,경기도 안산시 단원구 초지동 634(655 인근),126.7996422,37.3018178,2026-01-12
91,소화전,초지동,초지동,1980-01-01,,경기도 안산시 단원구 초지동 630(648 인근),126.7966909,37.3036891,2026-01-12
92,소화전,초지동,초지동,,,경기도 안산시 단원구 초지동 630(622-2 인근),126.7966909,37.3036891,2026-01-12
93,소화전,초지동,초지동,1980-01-01,,경기도 안산시 단원구 초지동 632(622-5 인근),126.7991942,37.3037416,2026-01-12
94,소화전,초지동,초지동,1984-01-01,,경기도 안산시 단원구 초지동 660-28(626-8 인근),126.8052302,37.3000993,2026-01-12
95,소화전,초지동,초지동,1980-01-01,,경기도 안산시 단원구 초지동 629(620-5 인근),126.7985648,37.3057265,2026-01-12
96,소화전,초지동,초지동,,,경기도 안산시 단원구 초지동 630(622-2 인근 틀 미설치),126.7966909,37.3036891,2026-01-12
97,소화전,초지동,초지동,1980-01-01,지상쌍구,경기도 안산시 단원구 초지동 625-1 보호틀,126.8012682,37.3045465,2026-01-12
98,소화전,해양동,사동,1998-01-01,지상쌍구,경기도 안산시 상록구 사동 1612(1562 인근),126.8368109,37.3016484,2026-01-12
99,소화전,초지동,초지동,1980-01-01,,경기도 안산시 단원구 초지동 631(622-1 인근),126.7994963,37.3046096,2026-01-12
100,소화전,초지동,성곡동,1983-01-01,,경기도 안산시 단원구 성곡동 595,126.7663126,37.321064,2026-01-12
101,소화전,초지동,목내동,1982-01-01,,경기도 안산시 단원구 목내동 461(450-5 인근),126.7742249,37.3090451,2026-01-12
102,소화전,초지동,목내동,1983-01-01,,경기도 안산시 단원구 목내동 479(470 인근),126.7776439,37.3187398,2026-01-12
103,소화전,초지동,목내동,1982-01-01,,경기도 안산시 단원구 목내동 465(455-1 인근),126.7723928,37.307251,2026-01-12
104,소화전,초지동,목내동,1982-01-01,,경기도 안산시 단원구 목내동 463(453-1 인근),126.7708704,37.3086048,2026-01-12
105,소화전,초지동,원시동,1979-01-01,,경기도 안산시 단원구 원시동 750(729-12 인근),126.7857286,37.3084969,2026-01-12
106,소화전,사동,사동,1998-01-01,지상쌍구,경기도 안산시 상록구 사동 1212-5(1538 인근),126.8475485,37.3031591,2026-01-12
107,소화전,초지동,목내동,1983-01-01,,경기도 안산시 단원구 목내동 479(476-1 인근),126.7776439,37.3187398,2026-01-12
108,소화전,초지동,원시동,1979-01-01,,경기도 안산시 단원구 원곡동 750(729-3 인근),126.7929181,37.3322413,2026-01-12
109,소화전,초지동,목내동,1982-01-01,,경기도 안산시 단원구 목내동 458(447-7 인근),126.7734848,37.3122452,2026-01-12
110,소화전,초지동,성곡동,1983-01-01,,경기도 안산시 단원구 성곡동 594-5,126.7683272,37.3220582,2026-01-12
111,소화전,초지동,목내동,,,경기도 안산시 단원구 목내동 398-9,126.7768731,37.3071262,2026-01-12
112,소화전,초지동,원시동,1979-01-01,,경기도 안산시 단원구 원시동 756(733 인근),126.7840938,37.304939,2026-01-12
113,소화전,초지동,성곡동,1985-01-01,,경기도 안산시 단원구 성곡동 607-6(599 인근),126.7665476,37.316345,2026-01-12
114,소화전,사동,사동,1998-01-01,,경기도 안산시 상록구 사동 1212-5(1253-6 인근),126.8475485,37.3031591,2026-01-12
115,소화전,초지동,성곡동,1985-01-01,,경기도 안산시 단원구 성곡동 607-6(599 인근),126.7665476,37.316345,2026-01-12
116,소화전,초지동,성곡동,1985-01-01,,경기도 안산시 단원구 성곡동 606-4,126.7641761,37.3082197,2026-01-12
117,소화전,초지동,성곡동,1985-01-01,,경기도 안산시 단원구 성곡동 607-11(604-3 인근),126.7635213,37.3089427,2026-01-12
118,소화전,초지동,원시동,1982-01-01,,경기도 안산시 단원구 원시동 823,126.7817168,37.2977601,2026-01-12
119,소화전,초지동,목내동,,,경기도 안산시 단원구 목내동 427(404-7 인근),126.7761213,37.3033971,2026-01-12
120,급수탑,초지동,원시동,1979-01-01,지상단구,경기도 안산시 단원구 원시동 763(738 인근),126.782558,37.3015532,2026-01-12
121,소화전,초지동,목내동,1979-01-01,,경기도 안산시 단원구 목내동 430(405-7 인근),126.7755259,37.3018591,2026-01-12
122,소화전,초지동,원시동,1979-01-01,,경기도 안산시 단원구 원시동 763(738-3 인근),126.782558,37.3015532,2026-01-12
123,소화전,초지동,원시동,1979-01-01,,경기도 안산시 단원구 원시동 763(739-6 인근),126.782558,37.3015532,2026-01-12
124,소화전,초지동,목내동,,,경기도 안산시 단원구 목내동 423(401-5 인근),126.7770502,37.3052448,2026-01-12
125,소화전,해양동,사동,1998-01-01,지상쌍구,경기도 안산시 상록구 사동 1612(1569-3 인근),126.8368109,37.3016484,2026-01-12
126,소화전,초지동,원시동,1979-01-01,지하단구,경기도 안산시 단원구 원시동 764(741 인근),126.7788004,37.3009468,2026-01-12
127,소화전,초지동,원시동,,,경기도 안산시 단원구 원시동 826(822 인근),126.7812857,37.2986117,2026-01-12
128,소화전,초지동,목내동,1979-01-01,,경기도 안산시 단원구 목내동 427(404-5 인근),126.7761213,37.3033971,2026-01-12
129,소화전,초지동,원시동,1979-01-01,,경기도 안산시 단원구 원시동 760(736 인근),126.7831806,37.3028121,2026-01-12
130,소화전,초지동,목내동,1979-01-01,지하단구,경기도 안산시 단원구 목내동 427(403-3 인근),126.7761213,37.3033971,2026-01-12
131,소화전,초지동,원시동,1979-01-01,,경기도 안산시 단원구 원시동 763(739-3 인근),126.782558,37.3015532,2026-01-12
132,소화전,사동,사동,1998-01-01,,경기도 안산시 상록구 사동 1537-2(1537 인근),126.8509501,37.3034805,2026-01-12
133,소화전,초지동,원시동,1979-01-01,,경기도 안산시 단원구 원시동 735-2,126.7864371,37.3037196,2026-01-12
134,소화전,초지동,원시동,1979-01-01,,경기도 안산시 단원구 원시동 745(731-6 인근),126.7836988,37.3154593,2026-01-12
135,소화전,초지동,목내동,,,경기도 안산시 단원구 목내동 421(400 인근),126.7775074,37.3062677,2026-01-12
136,소화전,초지동,원시동,1980-01-01,,경기도 안산시 단원구 원시동 782-10,126.7882763,37.3015759,2026-01-12
137,소화전,초지동,목내동,1982-01-01,,경기도 안산시 단원구 목내동 494(454-3 인근),126.7694141,37.3065983,2026-01-12
138,소화전,초지동,원시동,1979-01-01,,경기도 안산시 단원구 원시동 745(720-2 인근),126.7836988,37.3154593,2026-01-12
139,소화전,초지동,원시동,1979-01-01,,경기도 안산시 단원구 원시동 745(732 인근),126.7836988,37.3154593,2026-01-12
140,소화전,초지동,원시동,1979-01-01,,경기도 안산시 단원구 원시동 745(731-1 인근),126.7836988,37.3154593,2026-01-12
141,소화전,사동,사동,1999-01-01,,경기도 안산시 상록구 사동 1461(1347-1 인근),126.8433831,37.2974778,2026-01-12
142,소화전,초지동,목내동,1979-01-01,,경기도 안산시 단원구 목내동 413(390-3 인근),126.7789969,37.310419,2026-01-12
143,소화전,초지동,원시동,1979-01-01,,경기도 안산시 단원구 원시동 753(718-2 인근),126.781818,37.3096641,2026-01-12
144,소화전,초지동,원시동,1979-01-01,지상쌍구,경기도 안산시 단원구 원시동 764(741 인근 틀 미설치),126.7788004,37.3009468,2026-01-12
145,소화전,초지동,원시동,1979-01-01,,경기도 안산시 단원구 원시동 756(733 인근),126.7840938,37.304939,2026-01-12
146,소화전,초지동,목내동,1979-01-01,,경기도 안산시 단원구 목내동 413(391 인근),126.7789969,37.310419,2026-01-12
147,소화전,초지동,목내동,1979-01-01,,경기도 안산시 단원구 목내동 412(388-8 인근 보호틀),126.7789267,37.3119681,2026-01-12
148,소화전,초지동,원시동,1979-01-01,,경기도 안산시 단원구 원시동 757(735-3 인근),126.7838534,37.3044589,2026-01-12
149,소화전,초지동,목내동,,지상쌍구,경기도 안산시 단원구 목내동 422(402 인근 보호틀),126.7772773,37.3058509,2026-01-12
150,소화전,사동,사동,1999-01-01,,경기도 안산시 상록구 사동 1455(1355-6 인근),126.8458176,37.2872564,2026-01-12
151,소화전,초지동,목내동,1979-01-01,,경기도 안산시 단원구 목내동 412(388-9 인근),126.7789267,37.3119681,2026-01-12
152,소화전,초지동,성곡동,1992-01-01,지하단구,경기도 안산시 단원구 성곡동 693-1(656-3 인근),126.7435696,37.3188965,2026-01-12
153,소화전,초지동,성곡동,,지하단구,경기도 안산시 단원구 성곡동 693(658 인근),126.7427927,37.3269256,2026-01-12
154,소화전,초지동,성곡동,,,경기도 안산시 단원구 성곡동 693-11(665 인근),126.7499096,37.3148368,2026-01-12
155,소화전,초지동,성곡동,1986-01-01,,경기도 안산시 단원구 성곡동 622-8(633-5 인근),126.7509431,37.3157848,2026-01-12
156,소화전,초지동,성곡동,1986-01-01,,경기도 안산시 단원구 성곡동 622-4(632-7 인근),126.7524413,37.3159178,2026-01-12
157,소화전,사동,사동,2003-07-01,,경기도 안산시 상록구 사동 1222(1194-14 인근),126.8489255,37.3008838,2026-01-12
158,소화전,초지동,성곡동,1986-01-01,,경기도 안산시 단원구 성곡동 633-7,126.7511393,37.3162014,2026-01-12
159,소화전,초지동,성곡동,,,경기도 안산시 단원구 성곡동 612(611-3 인근),126.7628094,37.3021323,2026-01-12
160,급수탑,초지동,성곡동,1983-01-01,,경기도 안산시 단원구 성곡동 619-1(611-6 인근),126.759038,37.3044356,2026-01-12
161,소화전,초지동,성곡동,1998-01-01,,경기도 안산시 단원구 성곡동 655(635-1 인근),126.7543845,37.319173,2026-01-12
162,소화전,초지동,성곡동,1986-01-01,지상쌍구,경기도 안산시 단원구 성곡동 655(1060-3 인근),126.7543845,37.319173,2026-01-12
163,소화전,초지동,성곡동,1986-01-01,,경기도 안산시 단원구 성곡동 637-16,126.7583389,37.3153941,2026-01-12
164,소화전,초지동,성곡동,1986-01-01,지상쌍구,경기도 안산시 단원구 성곡동 648(1060-2 인근),126.7594284,37.3211813,2026-01-12
165,소화전,초지동,성곡동,1998-01-01,,경기도 안산시 단원구 성곡동 622-9(635-5 인근),126.7505534,37.3175197,2026-01-12
166,소화전,초지동,성곡동,,,경기도 안산시 단원구 성곡동 648(641-7 인근),126.7594284,37.3211813,2026-01-12
167,소화전,사동,사동,2003-12-01,,경기도 안산시 상록구 사동 1441-1(1321-11 인근),126.8536461,37.2960458,2026-01-12
168,소화전,초지동,성곡동,1985-01-01,,경기도 안산시 단원구 성곡동 653(638-2 인근),126.7586598,37.3150911,2026-01-12
169,소화전,초지동,성곡동,1985-01-01,,경기도 안산시 단원구 성곡동 653(638 인근),126.7586598,37.3150911,2026-01-12
170,소화전,초지동,성곡동,1998-01-01,,경기도 안산시 단원구 성곡동 622-5(635-7 인근),126.7511421,37.3187604,2026-01-12
171,소화전,초지동,성곡동,1986-01-01,지상쌍구,경기도 안산시 단원구 성곡동 648(1052-4 인근),126.7594284,37.3211813,2026-01-12
172,소화전,초지동,성곡동,1986-01-01,지상쌍구,경기도 안산시 단원구 성곡동 646-5,126.7636589,37.3246496,2026-01-12
173,소화전,초지동,성곡동,1986-01-01,,경기도 안산시 단원구 성곡동 648(1052-3 인근),126.7594284,37.3211813,2026-01-12
174,소화전,초지동,성곡동,1986-01-01,,경기도 안산시 단원구 성곡동 648(647 인근),126.7594284,37.3211813,2026-01-12
175,소화전,초지동,성곡동,1997-01-01,,경기도 안산시 단원구 성곡동 782-2(779 인근),126.7292768,37.3121031,2026-01-12
176,소화전,초지동,성곡동,1997-01-01,지하단구,경기도 안산시 단원구 성곡동 772(778 인근),126.7302343,37.3121854,2026-01-12
177,소화전,초지동,성곡동,1997-01-01,,경기도 안산시 단원구 성곡동 772(778-3 인근),126.7302343,37.3121854,2026-01-12
178,소화전,일동,일동,1990-01-01,지하단구,경기도 안산시 상록구 일동 634(610-2 인근),126.8711747,37.3087752,2026-01-12
179,소화전,사동,사동,2003-12-01,,경기도 안산시 상록구 사동 1441(1332-5 인근),126.8547653,37.2951285,2026-01-12
180,소화전,초지동,성곡동,1997-01-01,,경기도 안산시 단원구 성곡동 749(732-4 인근),126.7278501,37.315764,2026-01-12
181,소화전,초지동,성곡동,1997-01-01,,경기도 안산시 단원구 성곡동 770(732 인근),126.7293148,37.3158789,2026-01-12
182,소화전,초지동,성곡동,1997-01-01,,경기도 안산시 단원구 성곡동 752(734-4 인근),126.7273437,37.3150197,2026-01-12
183,소화전,초지동,성곡동,,,경기도 안산시 단원구 성곡동 750(741-2 인근),126.7299169,37.3142905,2026-01-12
184,소화전,초지동,성곡동,1997-01-01,,경기도 안산시 단원구 성곡동 770(730 인근),126.7293148,37.3158789,2026-01-12
185,소화전,초지동,성곡동,,,경기도 안산시 단원구 성곡동 750(730-5 인근),126.7299169,37.3142905,2026-01-12
186,소화전,초지동,성곡동,1997-01-01,,경기도 안산시 단원구 성곡동 772(779-5 인근),126.7302343,37.3121854,2026-01-12
187,소화전,초지동,성곡동,1997-01-01,,경기도 안산시 단원구 성곡동 722(779-11),126.7288139,37.3194957,2026-01-12
188,소화전,초지동,성곡동,1997-01-01,,경기도 안산시 단원구 성곡동 721-7(748 인근),126.7341124,37.3130109,2026-01-12
189,소화전,초지동,성곡동,1997-01-01,,경기도 안산시 단원구 성곡동 721-7(748-3 인근),126.7341124,37.3130109,2026-01-12
190,소화전,사동,사동,1998-01-01,,경기도 안산시 상록구 사동 1212-5(1186-2 인근),126.8475485,37.3031591,2026-01-12
191,소화전,초지동,성곡동,1993-01-01,,경기도 안산시 단원구 성곡동 691-11(690-13 인근),126.7418586,37.3078314,2026-01-12
192,소화전,초지동,성곡동,1998-01-01,,경기도 안산시 단원구 성곡동 721-7(747-15 인근),126.7341124,37.3130109,2026-01-12
193,소화전,초지동,성곡동,1998-01-01,,경기도 안산시 단원구 성곡동 832-2(728-3 인근),126.7436083,37.3050477,2026-01-12
194,소화전,초지동,성곡동,1998-01-01,,경기도 안산시 단원구 성곡동 721(728-12 인근),126.7335129,37.3157978,2026-01-12
195,소화전,초지동,성곡동,1993-01-01,,경기도 안산시 단원구 성곡동 691-11(688-9 인근),126.7418586,37.3078314,2026-01-12
196,소화전,초지동,성곡동,1997-01-01,,경기도 안산시 단원구 성곡동 721-7(720-5 인근),126.7341124,37.3130109,2026-01-12
197,소화전,초지동,성곡동,1997-01-01,,경기도 안산시 단원구 성곡동 721-7(718-5 인근),126.7341124,37.3130109,2026-01-12
198,소화전,초지동,성곡동,1993-01-01,,경기도 안산시 단원구 성곡동 691-8(676-3 인근),126.7400935,37.3108582,2026-01-12
199,소화전,초지동,성곡동,1993-01-01,,경기도 안산시 단원구 성곡동 691-10(689 인근),126.7376231,37.3115256,2026-01-12
200,소화전,초지동,성곡동,,,경기도 안산시 단원구 성곡동 697(710 인근),126.7357687,37.3225618,2026-01-12
201,소화전,사동,사동,1998-01-01,,경기도 안산시 상록구 사동 1212-5(1200-8 인근),126.8475485,37.3031591,2026-01-12
202,소화전,초지동,성곡동,1993-01-01,,경기도 안산시 단원구 성곡동 691-11(687-6 인근),126.7418586,37.3078314,2026-01-12
203,소화전,초지동,성곡동,,,경기도 안산시 단원구 성곡동 691-8(676 인근),126.7400935,37.3108582,2026-01-12
204,소화전,초지동,성곡동,1997-01-01,지상쌍구,경기도 안산시 단원구 성곡동 728-2 인근 틀 미설치,126.7318171,37.3153381,2026-01-12
205,소화전,초지동,성곡동,1993-01-01,,경기도 안산시 단원구 성곡동 691-8(675-1 인근),126.7400935,37.3108582,2026-01-12
206,소화전,초지동,성곡동,1993-01-01,지하단구,경기도 안산시 단원구 성곡동 676-12,126.7427782,37.3108687,2026-01-12
207,급수탑,초지동,성곡동,,,경기도 안산시 단원구 성곡동 691(674-3 인근),126.7447958,37.3123228,2026-01-12
208,소화전,초지동,성곡동,,,경기도 안산시 단원구 성곡동 691-5(677 인근),126.7459744,37.3092807,2026-01-12
