연번,지형지물부호,행정읍면동,법정읍면동,설치일자,소화전형식,주소,경도,위도,데이터기준일자
1152,소화전,안산동,장상동,2016-03-14,지하단구,경기도 안산시 상록구 장상동 548(530-9 인근),126.8711764,37.3599375,2026-01-12
1153,소화전,안산동,장상동,1996-01-01,지하단구,경기도 안산시 상록구 장상동 535,126.8709758,37.3605213,2026-01-12
1154,소화전,이동,이동,1997-01-01,,경기도 안산시 상록구 이동 736(717 인근),126.8488507,37.3072716,2026-01-12
1155,소화전,고잔동,고잔동,1984-01-01,,경기도 안산시 단원구 고잔동 629(616-3 인근),126.8313511,37.330825,2026-01-12
1156,소화전,안산동,장상동,2001-01-01,지하단구,경기도 안산시 상록구 장상동 556(545-3 인근),126.8776276,37.3610802,2026-01-12
1157,소화전,안산동,장하동,2001-01-01,지하단구,경기도 안산시 상록구 장하동 52-5(51-8 인근),126.8679188,37.3603749,2026-01-12
1158,소화전,와동,와동,1983-01-01,지상쌍구,경기도 안산시 단원구 와동 875(94 인근),126.8226669,37.3413894,2026-01-12
1159,소화전,초지동,초지동,1989-01-01,지상쌍구,경기도 안산시 단원구 초지동 617(802 인근),126.8090708,37.3240521,2026-01-12
1160,소화전,초지동,초지동,1986-01-01,지상쌍구,경기도 안산시 단원구 초지동 612(796 인근),126.8065089,37.3262339,2026-01-12
1161,소화전,부곡동,부곡동,1991-01-01,지상쌍구,경기도 안산시 상록구 부곡동 578(553-1 인근 보호틀),126.8678413,37.3309636,2026-01-12
1162,소화전,월피동,월피동,1998-01-01,지상쌍구,경기도 안산시 상록구 월피동 536-36(439-12 인근 보호통),126.85202,37.3295586,2026-01-12
1163,소화전,초지동,성곡동,2016-03-15,지상쌍구,경기도 안산시 단원구 성곡동 693-3(666 정문 인근 틀 미설치),126.7470812,37.3187175,2026-01-12
1164,소화전,고잔동,고잔동,1900-01-01,,경기도 안산시 단원구 고잔동 512(506-7 인근),126.8283984,37.3305886,2026-01-12
1165,소화전,초지동,성곡동,1992-01-01,지하단구,경기도 안산시 단원구 성곡동 691(673-14 인근),126.7447958,37.3123228,2026-01-12
1166,소화전,초지동,성곡동,1992-01-01,지상쌍구,경기도 안산시 단원구 성곡동 709-1(702-5 인근 틀 미설치(소방서기록은 지하)),126.7374941,37.3165431,2026-01-12
1167,소화전,본오1동,팔곡이동,2004-01-01,지상쌍구,경기도 안산시 상록구 팔곡이동 590-39(590-13 인근 보호틀),126.8843496,37.2882206,2026-01-12
1168,소화전,본오1동,팔곡이동,2004-01-01,지상쌍구,경기도 안산시 상록구 팔곡이동 60-1(60-7 인근 보호틀),126.8858634,37.2903343,2026-01-12
1169,소화전,본오1동,팔곡이동,2000-01-01,지상쌍구,경기도 안산시 상록구 팔곡이동 51-6(50-5 인근 보호틀),126.8875772,37.2896026,2026-01-12
1170,소화전,본오1동,팔곡이동,1994-01-01,지상쌍구,경기도 안산시 상록구 팔곡이동 117-56(444-4 인근),126.8837057,37.292873,2026-01-12
1171,소화전,호수동,고잔동,2001-01-01,지상쌍구,경기도 안산시 단원구 고잔동 805(715-3 인근 보호틀),126.8272277,37.3100778,2026-01-12
1172,소화전,사이동,사동,1999-01-01,지하단구,경기도 안산시 상록구 사동 1499(1468 인근),126.8508395,37.2788713,2026-01-12
1173,소화전,사동,사동,2016-03-16,,경기도 안산시 상록구 사동 1630(1586-4 인근),126.8458912,37.3001514,2026-01-12
1174,소화전,본오3동,본오동,1994-01-01,지상쌍구,"경기도 안산시 상록구 본오동 1145-14(1136-4 인근 보호틀, 표시대만있음)",126.8766918,37.3003757,2026-01-12
1175,소화전,고잔동,고잔동,,,경기도 안산시 단원구 고잔동 543(523 인근),126.8274707,37.3213075,2026-01-12
1176,소화전,본오1동,본오동,1997-01-01,지상쌍구,경기도 안산시 상록구 본오동 991 보호틀,126.8578926,37.2822374,2026-01-12
1177,소화전,이동,이동,1995-01-01,지상쌍구,경기도 안산시 상록구 이동 554(527 인근 보호틀),126.8586419,37.3117636,2026-01-12
1178,소화전,이동,이동,1989-01-01,지상쌍구,경기도 안산시 상록구 이동 554(530-18 인근 보호틀),126.8586419,37.3117636,2026-01-12
1179,소화전,선부2동,선부동,1991-01-01,지상쌍구,경기도 안산시 단원구 선부동 1147-9(1025 인근),126.8049283,37.3433921,2026-01-12
1180,소화전,선부3동,화정동,1999-01-01,지상쌍구,경기도 안산시 단원구 화정동 566-2(565-3 인근 보호틀),126.8218904,37.357862,2026-01-12
1181,소화전,초지동,목내동,2016-03-17,지상쌍구,경기도 안산시 단원구 목내동 479(471-1 인근),126.7776439,37.3187398,2026-01-12
1182,소화전,초지동,목내동,1999-01-01,지상쌍구,경기도 안산시 단원구 목내동 498(488 인근 보호틀),126.7690214,37.3037019,2026-01-12
1183,소화전,초지동,목내동,2016-03-17,지상쌍구,경기도 안산시 단원구 목내동 500(490 인근 보호틀),126.7699764,37.3018556,2026-01-12
1184,소화전,초지동,성곡동,1986-01-01,지상쌍구,경기도 안산시 단원구 성곡동 648(1051-3 인근),126.7594284,37.3211813,2026-01-12
1185,소화전,초지동,초지동,2015-01-01,지하단구,경기도 안산시 단원구 초지동 660-2(783-8 인근),126.7927242,37.3006301,2026-01-12
1186,소화전,고잔동,고잔동,2005-01-01,,경기도 안산시 단원구 고잔동 669-15(661-4 인근),126.8223855,37.3239962,2026-01-12
1187,소화전,초지동,초지동,2015-01-01,지하단구,경기도 안산시 단원구 초지동 630(622-2 인근),126.7966909,37.3036891,2026-01-12
1188,소화전,초지동,초지동,2015-01-01,지상쌍구,경기도 안산시 단원구 초지동 630(622-2 인근),126.7966909,37.3036891,2026-01-12
1189,소화전,대부동,풍도동,2015-01-01,지상쌍구,경기도 안산시 단원구 풍도동 233,126.3915409,37.1115691,2026-01-12
1190,소화전,대부동,풍도동,2015-01-01,지상쌍구,경기도 안산시 단원구 풍도동 121,126.3924377,37.1111938,2026-01-12
1191,소화전,대부동,풍도동,2015-01-01,지상쌍구,경기도 안산시 단원구 풍도동 34-7(37 인근),126.3926504,37.112305,2026-01-12
1192,소화전,대부동,풍도동,2015-01-01,지상쌍구,경기도 안산시 단원구 풍도동 34-8,126.3926163,37.1128541,2026-01-12
1193,소화전,대부동,풍도동,2015-01-01,지상쌍구,경기도 안산시 단원구 풍도동 251-1,126.3938062,37.1108519,2026-01-12
1194,소화전,원곡동,신길동,2012-01-01,지상쌍구,경기도 안산시 단원구 신길동 1069-4(1070-2 인근),126.7514102,37.323692,2026-01-12
1195,소화전,원곡동,신길동,1997-01-01,지상쌍구,경기도 안산시 단원구 신길동 1436(1392 인근),126.7596546,37.3383037,2026-01-12
1196,소화전,원곡동,신길동,1998-01-01,지상쌍구,경기도 안산시 단원구 신길동 1434-1(1385-6 인근),126.7618255,37.3373623,2026-01-12
1197,소화전,원곡동,신길동,1991-01-01,지상쌍구,경기도 안산시 단원구 신길동 1393-4,126.7593559,37.3379401,2026-01-12
1198,소화전,원곡동,신길동,1998-01-01,지상쌍구,경기도 안산시 단원구 신길동 1436-6(1399-9 인근),126.7632399,37.33644,2026-01-12
1199,소화전,원곡동,신길동,1998-01-01,지상쌍구,경기도 안산시 단원구 신길동 1436-7(1417-14 인근),126.7655455,37.335536,2026-01-12
1200,소화전,원곡동,신길동,1998-01-01,지상단구,경기도 안산시 단원구 신길동 26-2,126.7831298,37.3374482,2026-01-12
1201,소화전,초지동,원시동,1993-01-01,지상쌍구,경기도 안산시 단원구 원시동 803(782-21 인근),126.7889843,37.3101792,2026-01-12
1202,소화전,초지동,원시동,1993-01-01,지상쌍구,경기도 안산시 단원구 원시동 803(781-11 인근),126.7889843,37.3101792,2026-01-12
1203,소화전,초지동,원시동,1979-01-01,지상쌍구,경기도 안산시 단원구 원시동 750(729-4 인근),126.7857286,37.3084969,2026-01-12
1204,소화전,초지동,원시동,1979-01-01,지상단구,경기도 안산시 단원구 원시동 804(773-4 인근),126.7962786,37.3132812,2026-01-12
1205,소화전,대부동,선감동,2014-01-01,지상쌍구,경기도 안산시 단원구 선감동 산144-10(산146-77 인근),126.644982,37.2002932,2026-01-12
1206,소화전,안산동,장상동,2001-01-01,지상쌍구,경기도 안산시 단원구 장상동 551(538-7 인근),126.8732757,37.3607144,2026-01-12
1207,소화전,초지동,초지동,2006-01-01,지상쌍구,경기도 안산시 단원구 초지동 617(606-1 인근),126.8090708,37.3240521,2026-01-12
1208,소화전,초지동,성곡동,2015-01-01,지상쌍구,경기도 안산시 단원구 성곡동 607-9(604 인근),126.7615349,37.3145085,2026-01-12
1209,소화전,초지동,성곡동,2015-01-01,지상쌍구,경기도 안산시 단원구 성곡동 607-9(605-3 인근),126.7615349,37.3145085,2026-01-12
1210,소화전,초지동,성곡동,2015-01-01,지상쌍구,경기도 안산시 단원구 성곡동 606-8(606-8 인근),126.7642011,37.307382,2026-01-12
1211,소화전,초지동,성곡동,2015-01-01,지하단구,경기도 안산시 단원구 성곡동 619(605-2 인근),126.7616492,37.3075355,2026-01-12
1212,소화전,초지동,목내동,2015-01-01,지상쌍구,경기도 안산시 단원구 목내동 495(487 인근),126.7680524,37.3057101,2026-01-12
1213,소화전,초지동,목내동,2015-01-01,지상쌍구,경기도 안산시 단원구 목내동 495(487-2 인근),126.7680524,37.3057101,2026-01-12
1214,소화전,초지동,목내동,2015-01-01,지상쌍구,경기도 안산시 단원구 목내동 467(457-7 인근),126.7713049,37.3047798,2026-01-12
1215,소화전,초지동,목내동,2015-01-01,지하단구,경기도 안산시 단원구 목내동 467(457 인근),126.7713049,37.3047798,2026-01-12
1216,소화전,초지동,목내동,2015-01-01,지하단구,경기도 안산시 단원구 목내동 481(473 인근),126.7742716,37.3165874,2026-01-12
